asn,ip,timestamp,malware,src_port,dst_ip,dst_port,dst_host,proto
37440,137.115.5.118,24/12/2025 6:46,m0yv,4774,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.11.233,24/12/2025 19:36,m0yv,4726,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.241,24/12/2025 20:23,m0yv,2774,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.180.124,24/12/2025 13:09,m0yv,23031,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.141,24/12/2025 17:54,m0yv,9422,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.178.182,24/12/2025 5:36,android.vo1d2,604,188.40.187.142,55590,,tcp
37440,137.115.4.194,24/12/2025 21:10,m0yv,3044,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.229,24/12/2025 23:49,m0yv,20925,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.92.29,24/12/2025 9:13,m0yv,61734,85.214.228.140,80,dlynankz.biz,tcp
37294,102.70.99.183,24/12/2025 0:46,android.vo1d2,39531,188.40.187.142,55590,,tcp
37440,105.234.174.185,24/12/2025 23:24,android.vo1d2,1074,188.40.187.142,55590,,tcp
37294,102.70.90.43,24/12/2025 13:07,android.vo1d2,27396,188.40.187.142,55590,,tcp
37440,137.115.10.200,24/12/2025 16:13,m0yv,33653,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.5.218,24/12/2025 9:25,m0yv,3448,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.182.170,24/12/2025 14:15,m0yv,3229,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.11.173,24/12/2025 10:10,m0yv,4967,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.219,24/12/2025 14:53,m0yv,1636,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.6.168,24/12/2025 15:31,m0yv,5493,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.49,24/12/2025 21:06,m0yv,4368,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.1,24/12/2025 10:57,m0yv,10728,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.0.9,24/12/2025 12:40,android.vo1d2,8018,188.40.187.142,55590,,tcp
37440,105.234.179.58,24/12/2025 21:37,m0yv,1642,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.10.37,24/12/2025 16:36,m0yv,720,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.221,24/12/2025 13:16,m0yv,5207,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.192,24/12/2025 18:30,android.vo1d2,23242,188.40.187.142,55590,,tcp
37440,137.115.6.145,24/12/2025 13:57,m0yv,1420,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.3.117,24/12/2025 14:40,m0yv,33153,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.174.213,24/12/2025 7:25,m0yv,2455,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.7.178,24/12/2025 12:28,m0yv,2289,85.214.228.140,80,dlynankz.biz,tcp
37440,105.234.177.92,24/12/2025 19:22,m0yv,24281,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.11.101,24/12/2025 19:54,m0yv,9063,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.2.219,24/12/2025 19:00,m0yv,10932,85.214.228.140,80,dlynankz.biz,tcp
37440,137.115.4.71,24/12/2025 17:40,m0yv,8410,85.214.228.140,80,dlynankz.biz,tcp
